 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
1031,2,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,9000000.0,1500000.0,1.0,0.0,1,1,2,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,60,0,1500000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,0,3,18,0,0,2053,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,119991,2,2,64,290,32,32,32.0,0.0,145,145,145.0,0.0,2950.221267,33.33583352,39997.0,69232.67251,119940,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,0,0,16.66791676,16.66791676,32,145,77.2,61.892649,3830.7,0,0,0,0,0,0,0,0,1,96.5,32.0,145.0,0,0,0,0,0,0,0,2,64,2,290,-1,-1,1,0,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
88,69,1,3,6,18,6,6,6.0,0.0,6,6,6.0,0.0,347826.087,57971.01449,23.0,37.2424489,66,1,0,0.0,0.0,0,0,3,1.5,0.707106781,2,1,0,0,0,0,20,60,14492.75362,43478.26087,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,3,7.5,6.0,6.0,20,0,0,0,0,0,0,1,6,3,18,256,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,179,2,2,86,240,43,43,43.0,0.0,120,120,120.0,0.0,1821229.05,22346.36872,59.66666667,97.28480525,172,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,11173.18436,11173.18436,43,120,73.8,42.17463693,1778.7,0,0,0,0,0,0,0,0,1,92.25,43.0,120.0,40,0,0,0,0,0,0,2,86,2,240,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,93732,3,2,308,511,302,0,102.6666667,172.6537962,511,0,255.5,361.3315652,8737.677634,53.3435753,23433.0,26986.37102,47162,58,46570,23285.0,32832.38206,46501,69,47289,47289.0,0.0,47289,47289,0,0,0,0,72,52,32.00614518,21.33743012,0,511,136.5,219.3478972,48113.5,0,0,0,1,0,0,0,0,0,163.8,102.6666667,255.5,72,0,0,0,0,0,0,3,308,2,511,8192,256,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
389,45539,19,8,298,714,64,0,15.68421053,24.00937926,144,0,89.25,58.96912025,22222.7102,592.8983948,1751.5,8710.509901,44458,1,45539,2529.944444,10463.98238,44458,1,874,124.8571429,143.2008247,334,2,0,0,0,0,632,272,417.2247963,175.6735985,0,144,36.14285714,49.64295801,2464.42328,0,0,0,1,0,0,0,0,0,37.48148148,15.68421053,89.25,632,0,0,0,0,0,0,19,298,8,714,65535,2081,8,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,66630,2,2,78,206,39,39,39.0,0.0,103,103,103.0,0.0,4262.344289,60.03301816,22210.0,38462.78626,66623,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,30.01650908,30.01650908,39,103,64.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,80.75,39.0,103.0,64,0,0,0,0,0,0,2,78,2,206,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,67028350,7,7,336,336,48,48,48.0,0.0,48,48,48.0,0.0,10.02560857,0.208866845,5156026.923,15600000.0,57000000,28405,67000000,11200000.0,22500000.0,57000000,1999946,67000000,11200000.0,22500000.0,57000000,1999851,0,0,0,0,188,188,0.104433423,0.104433423,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,51.42857143,48.0,48.0,188,0,0,0,0,0,0,7,336,7,336,-1,-1,6,20,10000000.0,0.0,10000000,10000000,57000000.0,0.0,57000000,57000000,BENIGN
443,5496073,35,43,25453,50600,5840,0,727.2285714,1514.93578,4380,0,1176.744186,989.6903579,13837.6983,14.19195123,71377.57143,341818.1141,2773054,1,5496073,161649.2059,504429.8345,2773054,3,5280346,125722.5238,479721.831,2859856,1,0,0,0,0,712,872,6.368183246,7.823767989,0,5840,962.6962025,1260.885722,1589832.804,0,0,0,1,0,0,0,0,1,975.0384615,727.2285714,1176.744186,712,0,0,0,0,0,0,35,25453,43,50600,8192,256,34,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,183,2,2,72,136,36,36,36.0,0.0,68,68,68.0,0.0,1136612.022,21857.9235,61.0,64.49030935,131,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,40,40,10928.96175,10928.96175,36,68,48.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,61.0,36.0,68.0,40,0,0,0,0,0,0,2,72,2,136,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
